CARGO,SALÁRIO,REQUISITOS,JORNADA,BENEFICIO,ADICIONAIS,Nº Concurso,Homo. do CP,Prova Prática ou Curso,"Qtd Aprovados
CP",Data Homologação CP,Vencimento CP,Prorrogação CP,"Total Disponível
CP",Regularizar,"Pedidos Abertos
CP","Pedidos em Andamento
CP",MEMO CP,"Qtd Atendida
CP",Desistências e Renúncias CP,Salário real esperado,NÍVEL
Advogado,"R$ 7.497,97",Graduação Superior em Direito e Registro Profissional,30h,-,-,,Não Temos,,,,,,0,,,,,,,"R$ 7.497,97",SUPERIOR 3
Agente Comunitário de Saúde - Alphaville,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Chácara das Garças,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Chácara Solar II,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Cento e Vinte,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/04/2024,Aprovados,,35,22/05/2024,21/05/2026,21/05/2028,24,,,1,865/2026 - SMS,8,2,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Centro,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Colinas,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Cururuquara,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,1,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Fazendinha,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Ingaí,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/04/2024,Aprovados,,13,22/05/2024,21/05/2026,21/05/2028,13,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Itaim,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/04/2024,Aprovados,,7,22/05/2024,21/05/2026,21/05/2028,7,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Itapoã,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/04/2024,Aprovados,,36,22/05/2024,21/05/2026,21/05/2028,36,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Jaguari,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Jaguari Monteiros,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Parque Santana - Germano,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Parque Santana - Jardim Isaura,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Parque Santana - Rancho Alegre - Tarumã,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Parque Santana - Parque Santana II,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Refúgio Lavras,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - São Pedro,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/04/2024,Aprovados,,90,22/05/2024,21/05/2026,21/05/2028,88,,,,,1,1,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Sítio do Morro,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Suru,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/04/2024,Aprovados,,12,22/05/2024,21/05/2026,21/05/2028,12,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente Comunitário de Saúde - Votuparim,"R$ 3.238,01",Ensino Médio e Curso de Formação Inicial (carga horaria minima de 40h),40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,,Não Temos,,,,,,0,,,,,,,"R$ 3.885,61",MÉDIO 2
Agente de Atendimento,"R$ 1.897,52",Ensino Médio + Conhecimento de Informatica,40h,V.A + V.T,-,01/01/2023,Aprovados,,34,02/06/2023,01/06/2025,01/06/2027,14,,,3,1-25/2026-SMAFEL         2-603/2026-SMAFEL,5,12,"R$ 1.897,52",MÉDIO 2
Agente de Combate às Endemias,"R$ 3.238,01",Ensino Médio,40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/05/2022,Aprovados,103,25,22/07/2022,21/07/2024,21/07/2026,23,,,,,1,1,"R$ 3.885,61",MÉDIO 1
Agente de Defesa Civil,"R$ 2.035,16","Ensino Médio + CNH ""B"" e Aptidão Fisica",40h,V.A + V.T,,01/03/2026,Aguardando CP,,,,,,0,,1,,1-782/2025-SMSU,,,"R$ 2.035,16",MÉDIO 2
Agente de Limpeza Pública,"R$ 1.897,52",Alfabetizado,40h,V.A + V.T,Adc de Insalubridade de grau médio - 20% do salário mínimo regional,01/03/2026,Aguardando CP,,0,,,,0,,16,2,"1-25/2026-SMAFEL   
  1-208/2026-SMOU                    5-208/2026-SMOU     3-25/2026-SMAFEL           3-168/20256-SMAFEL   4-603/2026-SMAFEL      1-613/2026-SMAFEL",11,60,"R$ 2.277,02",FUNDAMENTAL 1
Agente de Organização Escolar,"R$ 1.897,52",Ensino Fundamental,40h,V.A + V.T,,01/07/2022,Aprovados,,50,28/10/2022,27/10/2024,27/10/2026,6,,,7,1-6502/2025 - SME     1-2018/2026-SME     5-2894/2026-SME,9,28,"R$ 1.897,52",FUNDAMENTAL 1
Agente de Organização Escolar,"R$ 1.897,52",Ensino Fundamental,40h,V.A + V.T,,01/01/2026,Aprovados,,166,29/05/2026,19/05/2028,,166,,,,,,,"R$ 1.897,52",FUNDAMENTAL 1
Agente de Serviços de Alimentação,"R$ 2.035,16",Alfabetizado,40h,V.A + V.T,,01/01/2026,Aguardando CP,,,,,,0,5,23,,1-305/2026-SMS       1-306/2026-SMS    1-1189/2025-SEMEDES  1-83/2026-SEMEDES  1-713/2026-SMS                        7-2445/2025-SME  6-6502/2025-SME             4-2018/2026-SME   1-780/2026-SMS            1-448/2026-SEMEDES             1-452/2026-SEMEDES           1-1836/2026-SMDS         1-1095/2026  - SMS               1-494/2026-SEMEDES,,,"R$ 2.035,16",FUNDAMENTAL 1
Agente de Serviços Gerais,"R$ 1.897,52",Alfabetizado,40h,V.A + V.T,,01/01/2023,Aprovados,,90,19/05/2023,18/05/2025,18/05/2027,16,,,3,"1-2587/2025-SMS 
1-1739/2026-SMDS                      1-132/2026-SMDS",28,43,"R$ 1.897,52",FUNDAMENTAL 1
Agente de Serviços Públicos,"R$ 2.214,33",Alfabetizado,40h,V.A + V.T,,01/01/2026,Aguardando CP,,,,,,0,,28,,2-193/2025-SMOU                           1-588/2025-SMOU                    5-1717/2025-SEMUTTRANS                        1-51/2026-SMAFEL       1-102/2026-SEMEDES      1-265/2026-SMAFEL    1-150/2026-SEMUTTRANS      1-462/2026-SEMUTTRANS    1-461/2026-SEMUTTRANS    10-208/2026-SMOU                     2-S/MEMO SMA                                2-751/2026-SMS,,,"R$ 2.214,33",FUNDAMENTAL 1
Agente de Trânsito,"R$ 3.213,41","Ensino Médio + CNH ""A/B"" e Aptidão Fisica",40h,-,,01/01/2026,Aguardando CP,,,,,,0,,7,,"3-1609/2025-SEMUTTRANS
1-165/2026-SEMUTTRANS         1-195/2026-SEMUTTRANS    1-460/2026-SEMUTTRANS   1-536/2026-SEMUTTRANS",,,"R$ 3.213,41",MÉDIO 2
